sample_id,species,environment,treatment_t_acre,temperature_c,rainfall_mm,soil_n_mgkg,soil_p_mgkg,soil_k_mgkg,tissue_n_pct,tissue_p_pct,tissue_k_pct,canopy_moisture,chlorophyll_proxy,ndvi,ndre,ndmi,red_edge_slope,nir_mean,swir_mean,stress_flag,stress_probability,risk_score,scouting_priority
DF-S001,Yellow,Open field,20,30.33,130.13,58.468,23.399,136.018,2.112,0.355,2.02,0.8639,35.697,0.6777,0.3706,0.6397,0.0178,0.6159,0.1052,0,0.1036,20.74,Normal
DF-S002,Yellow,Open field,20,28.67,95.134,43.324,28.089,149.561,1.907,0.365,2.265,0.8453,37.533,0.7045,0.4097,0.6511,0.01753,0.6413,0.1048,0,0.0807,17.39,Normal
DF-S003,Red,High tunnel,20,29.191,110.77,47.367,35.379,163.1,1.796,0.466,2.305,0.8202,32.331,0.6315,0.3664,0.6294,0.01831,0.6075,0.1195,0,0.1225,22.96,Normal
DF-S004,Red,Open field,10,31.156,157.779,45.542,27.365,120.428,1.876,0.338,1.804,0.8408,31.444,0.664,0.3466,0.6497,0.01929,0.6098,0.1184,0,0.251,28.39,Normal
DF-S005,Red,High tunnel,10,27.741,148.837,49.262,25.032,110.636,1.813,0.378,1.888,0.8846,32.564,0.6751,0.3681,0.6695,0.01905,0.616,0.1071,0,0.0435,17.29,Normal
DF-S006,Yellow,High tunnel,5,30.53,152.098,41.657,26.167,106.218,1.815,0.386,1.934,0.8747,33.544,0.6665,0.3804,0.6571,0.01892,0.6305,0.1053,0,0.108,20.12,Normal
DF-S007,White,Open field,20,30.169,125.996,48.237,30.802,148.361,1.894,0.353,2.152,0.8672,34.372,0.6779,0.4058,0.6541,0.02193,0.6472,0.1141,0,0.1585,21.25,Normal
DF-S008,Red,Open field,5,26.91,118.685,43.67,20.787,110.545,1.787,0.349,1.852,0.8754,32.823,0.6431,0.3638,0.6534,0.02064,0.6158,0.1022,0,0.0917,20.46,Normal
DF-S009,White,Open field,20,28.107,87.344,51.129,22.353,159.029,1.983,0.345,2.419,0.848,36.369,0.6969,0.4013,0.6476,0.02007,0.6263,0.1081,0,0.0739,17.63,Normal
DF-S010,Yellow,High tunnel,5,29.858,146.09,45.077,20.293,90.511,1.997,0.299,1.739,0.8474,35.927,0.6814,0.3986,0.6208,0.02213,0.6303,0.1273,0,0.0613,19.49,Normal
DF-S011,Red,High tunnel,20,28.36,67.128,43.029,32.738,166.446,1.845,0.427,2.364,0.7639,36.615,0.6707,0.4087,0.5958,0.02089,0.6119,0.1502,0,0.0784,20.86,Normal
DF-S012,White,Open field,20,31.136,107.445,49.271,23.272,159.886,1.927,0.358,2.357,0.8222,37.196,0.6784,0.4193,0.632,0.02107,0.6139,0.1334,0,0.2151,24.16,Normal
DF-S013,Red,Open field,20,28.333,117.772,53.43,29.368,146.254,1.933,0.424,2.243,0.8671,34.261,0.6756,0.394,0.6467,0.02076,0.6263,0.0982,0,0.0683,18.33,Normal
DF-S014,White,Open field,0,30.203,115.449,38.262,17.389,92.295,1.773,0.355,1.642,0.8603,32.175,0.6367,0.3408,0.6354,0.0189,0.6072,0.1207,0,0.0679,22.13,Normal
DF-S015,Yellow,Open field,10,30.731,139.971,43.375,18.463,112.666,1.897,0.354,1.865,0.8203,35.155,0.6698,0.3913,0.6128,0.02074,0.6113,0.1316,0,0.0895,21.16,Normal
DF-S016,White,High tunnel,5,28.001,123.116,34.479,26.929,99.968,1.769,0.385,1.765,0.8382,33.101,0.6667,0.3573,0.6257,0.0207,0.6107,0.1367,0,0.1264,23.04,Normal
DF-S017,White,High tunnel,20,30.172,101.8,44.727,27.012,141.494,1.889,0.377,2.123,0.8396,36.741,0.6901,0.4075,0.6458,0.0223,0.6285,0.1169,0,0.1134,20.01,Normal
DF-S018,Red,Open field,20,29.307,154.275,52.757,27.159,137.473,1.985,0.393,2.22,0.8848,33.98,0.6648,0.3852,0.6641,0.02019,0.6164,0.1067,0,0.1054,19.76,Normal
DF-S019,Yellow,Open field,0,27.585,139.94,43.325,18.64,67.737,1.804,0.33,1.341,0.8664,32.643,0.6481,0.3594,0.6505,0.02127,0.6116,0.1148,1,0.5134,39.48,Monitor
DF-S020,White,High tunnel,5,28.566,142.93,44.554,20.309,84.561,1.99,0.374,1.579,0.8587,34.802,0.6606,0.395,0.6297,0.02118,0.5999,0.1119,0,0.0798,20.31,Normal
DF-S021,Red,Open field,20,30.946,169.692,51.187,26.266,134.376,1.934,0.415,2.256,0.8751,35.654,0.6685,0.3822,0.6763,0.02087,0.6061,0.1111,0,0.1367,20.11,Normal
DF-S022,Yellow,Open field,0,29.943,168.464,44.38,19.156,76.509,1.821,0.346,1.472,0.8996,31.262,0.6496,0.3364,0.6893,0.01952,0.598,0.1002,0,0.0394,17.44,Normal
DF-S023,White,Open field,0,28.26,155.653,27.163,24.671,81.762,1.705,0.354,1.494,0.8984,29.55,0.649,0.3255,0.6699,0.01713,0.5996,0.0925,1,0.5668,38.38,Monitor
DF-S024,Red,Open field,20,28.932,103.707,48.886,23.347,166.435,1.932,0.348,2.435,0.8082,34.571,0.6522,0.3831,0.6076,0.01984,0.6263,0.1232,0,0.0928,21.67,Normal
DF-S025,White,High tunnel,20,31.132,162.718,41.068,30.852,132.652,1.845,0.433,2.139,0.8678,32.072,0.6739,0.3674,0.6715,0.02066,0.6321,0.0997,0,0.1786,22.51,Normal
DF-S026,Yellow,Open field,20,31.529,103.234,44.299,23.746,154.536,1.84,0.353,2.441,0.8378,33.15,0.6469,0.3712,0.6343,0.01905,0.6047,0.1247,0,0.2507,27.76,Normal
DF-S027,White,High tunnel,10,29.293,142.434,49.472,29.336,119.099,1.893,0.386,2.015,0.8614,35.823,0.6673,0.3936,0.6503,0.0196,0.613,0.1141,0,0.0681,18.63,Normal
DF-S028,Red,Open field,10,30.066,137.143,38.797,26.59,127.391,1.847,0.395,2.089,0.8521,33.311,0.6604,0.3679,0.6517,0.01969,0.6148,0.1199,0,0.0759,20.1,Normal
DF-S029,Yellow,Open field,5,31.63,127.692,46.54,16.133,102.694,1.865,0.318,1.817,0.8298,35.628,0.6724,0.3932,0.6244,0.02062,0.6376,0.1314,0,0.2564,27.79,Normal
DF-S030,White,Open field,20,31.284,104.994,52.592,34.883,148.057,1.908,0.486,2.265,0.8313,33.344,0.6419,0.3806,0.6087,0.021,0.6018,0.1282,0,0.2055,26.73,Normal
DF-S031,Red,High tunnel,20,28.416,142.137,49.551,28.866,144.418,1.93,0.406,2.187,0.8566,34.86,0.6566,0.3887,0.6515,0.02132,0.6171,0.1222,0,0.0906,20.6,Normal
DF-S032,White,Open field,20,28.065,119.847,53.113,24.116,153.726,2.02,0.403,2.269,0.847,36.485,0.6874,0.4128,0.6466,0.01962,0.6238,0.1271,0,0.0896,18.9,Normal
DF-S033,Red,High tunnel,5,29.348,158.002,39.578,26.955,110.575,1.781,0.378,1.847,0.8655,34.955,0.673,0.357,0.6646,0.02006,0.6292,0.1157,0,0.1022,21.12,Normal
DF-S034,White,High tunnel,0,29.343,190.981,34.686,17.644,82.378,1.801,0.326,1.55,0.9102,31.906,0.6654,0.3593,0.6956,0.01899,0.6069,0.0969,0,0.1059,20.19,Normal
DF-S035,Red,High tunnel,20,30.444,97.368,59.978,29.662,162.924,2.062,0.383,2.352,0.7938,38.96,0.6924,0.414,0.5965,0.02091,0.6279,0.1398,0,0.0779,19.67,Normal
DF-S036,Red,High tunnel,5,32.11,80.121,31.887,27.68,118.419,1.728,0.436,1.837,0.7471,30.703,0.6241,0.3263,0.5667,0.01831,0.5824,0.1708,0,0.2692,33.28,Normal
DF-S037,Red,High tunnel,0,29.549,92.252,34.11,20.136,107.645,1.723,0.342,1.835,0.7997,31.888,0.6549,0.3243,0.602,0.01783,0.6075,0.1399,0,0.0984,25.16,Normal
DF-S038,Red,Open field,10,30.673,154.32,43.636,26.619,106.318,1.974,0.384,1.919,0.8892,36.852,0.6713,0.4192,0.6779,0.02105,0.6121,0.097,0,0.1423,20.16,Normal
DF-S039,Yellow,High tunnel,0,26.953,96.617,33.738,16.703,87.836,1.829,0.311,1.588,0.8552,33.484,0.6596,0.3757,0.6527,0.01932,0.608,0.1088,0,0.0766,20.17,Normal
DF-S040,Yellow,Open field,20,27.814,129.176,55.054,31.777,154.02,1.974,0.434,2.337,0.8827,35.031,0.6684,0.4007,0.6714,0.01943,0.6157,0.1157,0,0.089,18.69,Normal
DF-S041,Red,High tunnel,20,29.324,131.447,51.946,24.791,144.886,1.929,0.354,2.183,0.8366,34.889,0.6725,0.3888,0.6373,0.02099,0.6209,0.1319,0,0.0968,21.39,Normal
DF-S042,White,Open field,20,29.724,143.682,48.267,30.282,144.021,1.946,0.468,2.182,0.8575,36.818,0.7007,0.4149,0.653,0.02095,0.6381,0.1041,0,0.0397,15.4,Normal
DF-S043,Yellow,Open field,0,29.207,154.787,36.54,21.142,64.084,1.78,0.354,1.362,0.8752,30.631,0.6302,0.3415,0.6709,0.01905,0.6044,0.1192,1,0.5258,39.45,Monitor
DF-S044,White,High tunnel,10,27.632,79.551,37.354,24.769,129.872,1.752,0.373,2.051,0.78,32.786,0.6128,0.331,0.591,0.01873,0.5841,0.1572,0,0.1058,26.43,Normal
DF-S045,Red,Open field,20,27.713,149.668,46.086,34.811,145.896,1.904,0.439,2.249,0.8846,34.462,0.6497,0.3828,0.6749,0.01825,0.6092,0.1144,0,0.1318,22.03,Normal
DF-S046,White,Open field,10,28.708,98.102,47.002,26.799,122.953,1.877,0.372,1.941,0.8051,35.445,0.6591,0.3939,0.608,0.02094,0.6105,0.1518,0,0.0856,22.81,Normal
DF-S047,Red,High tunnel,5,29.356,169.396,39.492,15.042,90.647,1.855,0.295,1.693,0.8876,31.388,0.6504,0.3558,0.6929,0.0177,0.6187,0.1053,0,0.0403,17.13,Normal
DF-S048,Red,Open field,5,29.819,104.418,32.371,25.93,109.989,1.703,0.387,1.856,0.8032,28.401,0.6136,0.2995,0.6215,0.01744,0.5853,0.1306,1,0.5679,39.05,Monitor
DF-S049,White,High tunnel,5,27.185,80.031,32.276,27.015,116.036,1.763,0.414,1.906,0.798,28.034,0.604,0.3093,0.6021,0.01839,0.5984,0.1353,0,0.1034,27.12,Normal
DF-S050,White,High tunnel,10,30.802,131.498,50.065,31.743,123.788,1.952,0.443,2.0,0.8581,35.339,0.6742,0.3992,0.6585,0.02056,0.6392,0.1192,0,0.0864,18.77,Normal
DF-S051,Red,High tunnel,5,29.23,106.689,33.568,20.207,104.443,1.808,0.349,1.884,0.8027,32.516,0.6419,0.3412,0.5915,0.01976,0.6051,0.132,0,0.0669,23.57,Normal
DF-S052,White,Open field,0,30.642,77.655,32.261,19.432,119.485,1.714,0.308,1.871,0.7791,31.0,0.6255,0.3058,0.5901,0.01938,0.5852,0.1531,0,0.1088,27.38,Normal
DF-S053,Red,High tunnel,10,30.758,171.912,43.564,23.299,110.375,1.902,0.349,1.943,0.8967,35.236,0.6852,0.3814,0.699,0.02001,0.6358,0.0956,0,0.086,17.42,Normal
DF-S054,White,Open field,20,31.394,108.776,54.449,31.61,154.877,2.055,0.412,2.295,0.8244,37.544,0.687,0.4295,0.6327,0.02156,0.6334,0.1397,0,0.2249,24.32,Normal
DF-S055,White,Open field,10,29.916,123.958,45.735,27.204,125.11,1.888,0.4,1.969,0.8508,35.933,0.6808,0.4007,0.6503,0.02139,0.6169,0.1249,0,0.0828,19.37,Normal
